id,idade,tempo_cliente,mensalidade,suporte_ligacoes,tem_servico_extra,pagamento_em_dia,churn
82,35,28,86.6,3,0,1,1
83,43,1,108.08,0,0,1,1
84,61,60,145.89,7,0,1,1
85,51,56,73.4,1,1,1,0
86,27,35,109.64,7,0,1,1
87,53,30,95.16,2,0,1,1
88,31,54,188.17,7,0,1,1
89,48,36,179.35,5,0,1,1
90,65,55,141.18,0,0,1,0
91,32,58,132.85,6,1,1,0
92,25,65,190.3,6,0,1,0
93,31,69,190.54,5,0,1,0
94,40,51,195.71,0,0,1,0
95,74,22,77.55,4,1,1,0
96,57,53,82.48,0,0,0,0
97,38,36,154.74,0,1,1,0
98,33,68,135.8,5,0,0,1
99,62,36,62.59,7,0,1,0
100,35,52,68.68,0,1,1,0
101,64,53,184.33,1,0,1,0
102,70,50,181.64,4,0,0,0
103,41,41,110.02,7,0,1,0
104,43,18,184.75,3,0,1,0
105,42,22,143.11,4,0,1,1
106,62,66,172.83,9,0,1,0
107,58,21,119.84,4,0,1,0
108,46,44,75.88,2,0,1,0
109,32,47,120.72,5,0,1,0
110,62,39,124.02,4,0,1,0
111,18,29,137.13,1,1,1,0
112,42,54,74.78,9,0,1,0
113,24,17,198.8,3,1,1,0
114,26,60,94.18,3,0,1,0
115,41,31,87.8,6,0,0,1
116,18,49,133.75,6,1,1,1
117,61,2,135.21,8,0,1,0
118,25,48,121.57,9,0,1,1
119,41,14,168.06,1,0,1,0
120,28,59,132.33,5,0,1,0
121,68,58,145.36,1,0,1,1
122,34,58,161.32,8,0,1,0
123,25,51,63.5,1,0,1,0
124,52,2,139.89,5,1,1,0
125,52,41,183.79,7,0,1,0
126,50,16,62.43,5,0,0,0
127,22,4,116.73,2,1,1,0
128,59,12,189.67,4,0,0,1
129,56,29,109.44,3,0,1,0
130,58,7,124.22,0,1,1,0
131,45,14,197.42,4,0,1,0
132,24,12,87.91,9,1,1,0
133,26,5,69.14,4,0,1,1
134,25,32,180.32,6,0,1,0
135,29,43,181.59,6,0,1,0
136,51,69,126.09,1,0,1,0
137,50,45,131.99,3,1,1,0
138,65,9,177.01,0,1,1,0
139,72,49,163.4,4,1,0,1
140,40,33,97.12,4,0,1,0
141,41,18,62.37,3,1,1,1
142,54,9,127.16,9,1,1,1
143,52,62,180.25,6,0,1,0
144,61,57,185.42,5,1,1,1
145,57,29,193.87,9,1,0,0
146,39,25,183.14,2,1,1,0
147,44,15,141.21,1,0,1,1
148,52,6,122.24,3,1,1,0
149,18,42,168.48,8,0,1,1
150,52,29,163.58,9,1,1,0
151,54,4,135.34,4,0,1,1
152,64,57,72.23,0,1,1,0
153,31,49,189.65,2,0,1,0
154,20,44,123.78,8,0,1,0
155,18,14,110.87,6,0,1,0
156,22,3,148.14,2,0,0,0
157,43,62,154.34,0,1,1,0
158,72,64,89.5,3,1,1,0
159,31,45,177.17,8,0,1,1
160,56,58,100.59,6,0,1,0
161,44,20,86.14,4,0,1,0
162,26,58,116.9,5,0,1,0
163,32,57,162.28,0,1,1,0
164,32,68,195.16,6,1,1,0
165,43,52,173.3,4,0,1,0
166,59,37,191.65,6,0,1,1
167,30,8,79.68,4,1,1,0
168,68,44,69.96,4,0,1,0
169,49,5,138.08,2,0,1,1
170,56,69,100.64,4,0,1,0
171,66,31,175.93,7,0,1,1
172,69,45,154.08,7,0,1,1
173,49,9,195.9,1,1,1,0
174,21,32,95.67,0,0,1,0
175,47,33,128.01,1,1,1,0
176,54,67,130.17,6,0,1,0
177,40,30,93.48,2,1,1,0
178,56,29,142.61,7,0,1,0
179,62,3,122.06,3,0,1,1
180,32,57,122.54,9,0,1,1
181,60,30,110.78,9,1,1,0
182,46,9,62.37,7,1,1,0
183,53,26,133.09,1,1,1,0
184,30,2,106.93,4,0,1,0
185,49,62,60.18,5,0,1,0
186,24,3,103.11,0,0,0,0
187,68,46,99.01,0,0,1,1
188,39,68,115.08,8,0,1,1
189,45,25,78.46,4,1,1,1
190,19,51,131.08,3,0,1,0
191,59,13,156.94,0,1,1,0
192,62,44,148.23,2,0,0,1
193,74,35,172.53,3,0,0,0
194,70,55,123.28,4,0,1,0
195,23,9,132.67,9,0,1,1
196,45,2,173.46,4,1,1,0
197,45,61,119.88,9,1,1,0
198,61,41,158.22,7,1,1,0
199,61,44,120.84,2,1,1,0
200,37,64,118.48,6,0,1,1
201,47,31,166.43,5,0,1,0
202,28,47,84.48,9,1,1,0
203,72,2,107.4,9,0,1,0
204,45,69,91.38,9,0,1,0
205,42,58,110.28,5,0,1,0
206,56,44,92.25,9,0,1,0
207,50,56,141.12,8,1,1,1
208,18,43,171.74,6,0,1,0
209,74,34,170.13,6,0,0,1
210,44,30,111.03,0,0,1,0
211,74,71,198.43,0,0,1,0
212,69,70,143.14,8,1,1,0
213,30,55,115.92,8,0,1,0
214,58,67,176.98,9,0,0,1
215,20,13,162.18,2,0,1,1
216,56,3,164.9,7,0,1,0
217,23,26,87.46,8,0,1,0
218,25,57,125.57,0,1,1,0
219,44,24,180.66,2,0,1,0
220,26,53,130.57,5,0,1,0
221,54,70,155.68,3,1,1,0
222,50,43,142.31,7,1,1,0
223,68,60,177.93,8,0,1,0
224,59,58,99.84,6,0,1,0
225,61,49,140.57,0,0,1,0
226,41,42,77.25,1,0,1,0
227,32,66,156.63,0,0,1,0
228,71,11,162.48,8,0,1,0
229,49,18,66.0,3,0,1,0
230,49,52,154.61,9,1,1,0
231,41,46,118.06,7,1,1,1
232,58,44,77.37,4,0,1,1
233,69,22,118.79,4,0,1,0
234,66,53,87.19,4,0,0,0
235,66,59,118.18,4,0,1,0
236,69,30,113.81,2,0,1,0
237,29,8,163.37,5,1,1,0
238,56,57,168.39,0,0,1,0
239,19,20,144.98,7,0,1,0
240,20,25,63.18,3,0,1,0
241,66,19,190.34,5,1,1,0
242,54,5,156.07,1,1,1,1
243,66,27,64.79,1,1,1,0
244,73,40,174.64,7,0,1,0
245,34,26,88.04,0,1,1,0
246,66,27,141.09,7,1,1,1
247,19,62,125.33,9,0,1,1
248,19,50,118.78,9,0,0,0
249,45,42,184.56,0,1,0,0
250,71,29,121.23,8,1,0,0
251,40,39,70.55,0,1,1,1
252,54,60,192.53,3,0,1,0
253,49,41,188.87,8,1,1,1
254,50,33,155.82,0,0,1,0
255,18,16,125.5,8,0,1,0
256,36,23,73.0,7,1,1,1
257,19,7,170.7,4,1,0,0
258,70,26,70.57,5,1,1,1
259,61,12,69.6,4,1,0,0
260,43,5,135.23,3,1,1,0
261,49,69,82.42,9,0,1,1
262,23,49,61.08,3,1,1,0
263,49,26,119.24,9,1,1,1
264,72,5,79.21,7,0,0,0
265,21,22,82.47,7,0,1,1
266,72,13,70.77,8,0,1,0
267,28,28,88.71,2,1,1,1
268,73,33,160.17,9,1,0,0
269,34,23,173.25,7,1,1,0
270,55,18,123.35,2,0,0,0
271,41,30,130.92,1,1,1,1
272,22,26,64.57,1,1,1,0
273,69,16,69.7,8,0,1,0
274,51,39,96.06,3,1,1,0
275,23,33,136.15,4,0,1,0
276,39,26,163.54,1,1,1,1
277,28,48,144.7,8,1,1,1
278,65,65,114.9,6,1,1,0
279,33,38,76.57,2,0,1,0
280,50,2,169.31,5,0,1,0
281,26,6,110.93,6,1,0,1
282,23,46,163.05,5,0,1,1
283,33,50,131.82,9,0,1,1
284,46,38,163.41,9,0,1,0
285,20,18,187.02,5,0,1,0
286,37,27,188.94,7,1,1,0
287,53,41,134.91,7,1,1,1
288,36,17,131.61,4,0,1,0
289,43,62,97.19,3,1,0,0
290,20,29,191.01,4,0,1,0
291,36,58,124.11,8,0,1,1
292,37,70,77.86,9,1,1,0
293,49,22,120.58,5,0,1,0
294,24,6,77.79,2,0,1,0
295,69,26,130.35,2,1,1,0
296,58,39,138.58,0,0,1,0
297,50,12,107.29,4,0,1,0
298,57,14,70.03,5,0,1,0
299,56,22,192.09,7,1,1,1
300,35,51,168.27,8,0,0,1
301,57,23,177.44,6,0,1,1
302,18,48,111.36,0,1,1,0
303,28,71,166.52,6,1,0,0
304,45,50,127.95,9,0,1,0
305,74,13,88.15,8,0,1,1
306,42,10,77.42,3,0,1,0
307,67,55,108.31,6,0,1,0
308,40,9,79.26,8,1,1,0
309,48,52,199.76,0,0,1,0
310,47,2,66.89,9,0,1,0
311,59,25,121.76,8,1,1,1
312,52,13,123.29,3,0,0,1
313,24,51,102.09,7,1,1,0
314,33,58,139.99,2,0,1,0
315,43,34,81.0,1,0,0,0
316,65,35,169.75,7,1,1,0
317,74,3,106.54,7,0,0,1
318,69,59,142.79,2,0,1,0
319,66,70,160.19,7,1,1,1
320,19,48,184.47,5,0,0,0
321,18,64,177.01,9,0,1,1
322,65,19,145.16,8,1,0,1
323,29,67,114.38,9,1,1,1
324,22,5,130.45,5,1,1,0
325,54,67,167.62,7,1,1,1
326,49,11,182.86,1,0,1,1
327,72,68,74.53,0,1,1,0
328,26,69,113.88,9,1,1,0
329,58,1,168.66,9,0,0,1
330,52,63,120.43,1,1,1,1
331,36,29,106.51,3,0,1,1
332,65,12,117.59,9,0,1,1
333,33,41,144.4,8,0,1,0
334,20,2,199.97,6,0,1,1
335,37,37,129.02,8,0,1,1
336,41,45,89.19,8,0,1,1
337,71,48,82.8,8,1,1,0
338,73,24,65.93,7,0,1,0
339,50,22,138.23,5,0,1,0
340,41,11,136.24,9,0,1,0
341,69,58,88.73,6,1,1,0
342,28,46,157.35,1,0,1,1
343,66,29,163.75,0,1,1,0
344,25,35,96.27,4,1,0,0
345,53,15,108.17,7,0,1,1
346,55,60,198.67,2,0,1,0
347,57,42,112.4,6,0,1,0
348,37,43,166.51,4,0,1,0
349,52,49,123.38,9,0,1,0
350,65,64,171.07,7,0,1,0
351,42,32,167.66,5,1,1,0
352,52,64,153.49,5,0,1,0
353,42,2,179.67,6,0,1,1
354,46,24,191.49,6,1,0,1
355,35,66,141.2,3,0,0,0
356,63,38,93.25,9,0,1,1
357,35,31,115.81,9,1,1,1
358,19,26,166.16,9,0,1,1
359,71,29,151.12,7,0,1,1
360,52,67,84.89,5,0,0,0
361,33,25,67.17,7,1,0,0
362,58,48,155.61,6,0,1,1
363,53,65,95.15,0,0,1,0
364,50,53,129.95,3,1,1,0
365,21,67,164.54,6,0,1,1
366,50,18,138.77,8,0,1,1
367,31,9,71.66,1,1,0,1
368,38,38,85.98,4,0,1,1
369,65,21,90.71,8,0,1,1
370,37,65,96.1,8,0,1,0
371,73,21,139.16,5,1,0,0
372,25,27,130.56,6,1,0,1
373,24,70,88.44,8,1,1,0
374,20,44,69.46,9,1,1,1
375,34,28,84.0,7,1,1,1
376,50,45,197.81,9,1,1,0
377,65,17,125.6,5,0,1,0
378,29,40,181.43,5,1,1,0
379,68,3,178.83,6,1,0,1
380,39,66,131.61,6,1,0,0
381,72,46,158.94,1,0,1,0
382,39,30,86.99,8,0,1,1
383,63,69,156.38,3,1,1,0
384,47,9,98.13,9,0,1,0
385,55,11,176.49,8,1,1,1
386,55,69,71.72,9,1,1,1
387,62,66,168.24,2,1,0,1
388,68,31,73.99,4,0,0,1
389,71,33,183.37,4,0,1,0
390,25,39,102.59,6,0,1,1
391,44,46,151.62,3,1,1,0
392,44,37,128.25,3,1,1,0
393,51,60,111.28,0,0,1,0
394,38,31,150.36,5,1,0,0
395,47,11,192.65,3,1,1,0
396,50,2,65.78,9,1,1,0
397,45,27,188.64,9,0,1,1
398,64,2,145.27,4,0,1,0
399,50,21,173.02,8,0,1,1
400,22,58,113.74,3,0,1,0
401,65,5,126.06,0,1,1,1
402,36,52,181.64,8,0,1,0
403,21,45,118.08,4,1,1,0
404,52,20,134.85,9,1,1,0
405,66,61,62.83,6,0,1,1
406,34,38,82.2,2,1,0,0
407,61,20,149.84,3,0,1,0
408,45,25,160.38,9,1,1,0
409,47,2,141.56,8,0,1,0
410,46,32,80.06,9,1,1,0
411,63,26,122.36,0,1,0,1
412,70,70,109.71,4,1,0,1
413,23,41,129.39,7,1,1,0
414,52,67,181.85,9,0,1,0
415,58,1,168.62,6,0,1,1
416,54,51,71.76,3,0,1,0
417,41,5,184.64,6,0,1,0
418,46,13,126.05,0,1,1,1
419,66,19,164.14,5,0,1,0
420,63,12,79.61,8,1,1,0
421,70,48,153.9,2,1,1,1
422,48,25,93.09,3,0,0,0
423,52,57,121.37,7,0,0,0
424,50,35,62.36,4,1,1,1
425,69,5,81.23,4,0,1,0
426,38,22,72.89,0,0,1,0
427,49,57,93.56,5,0,1,1
428,40,47,74.0,1,1,1,1
429,50,54,156.87,0,1,1,0
430,20,3,64.07,5,0,1,0
431,35,53,146.48,4,0,1,0
432,42,31,79.7,4,0,1,0
433,59,69,192.32,8,0,1,1
434,48,33,190.63,9,1,1,1
435,71,50,91.57,9,0,1,1
436,20,16,146.02,2,1,1,0
437,57,39,63.92,0,0,1,1
438,63,46,190.45,7,0,0,1
439,41,47,133.22,4,0,1,0
440,67,44,66.05,4,1,1,0
441,49,9,107.95,7,1,1,0
442,64,50,70.76,7,0,1,1
443,39,60,115.01,1,0,1,0
444,40,15,153.79,2,1,1,0
445,19,36,125.78,9,0,1,1
446,44,63,113.72,9,0,1,1
447,59,69,76.68,0,0,1,1
448,19,41,94.29,2,0,1,0
449,43,24,74.02,3,0,1,0
450,34,49,173.05,6,0,1,0
451,57,18,78.93,8,0,1,0
452,50,7,143.35,4,0,1,1
453,26,4,107.98,0,1,1,0
454,60,69,91.64,1,0,1,1
455,71,60,149.53,9,0,1,1
456,65,55,123.98,1,0,1,1
457,56,16,116.02,8,1,1,0
458,46,29,143.0,9,0,1,0
459,59,23,128.78,6,1,0,0
460,72,14,102.49,1,1,1,0
461,43,49,138.27,0,1,1,0
462,52,33,153.73,4,0,1,0
463,67,25,63.74,0,0,1,1
464,42,21,125.22,8,1,1,0
465,41,17,68.08,2,0,1,1
466,30,23,86.1,1,1,0,0
467,24,57,138.47,5,0,1,1
468,74,58,181.27,2,0,0,0
469,53,14,183.59,4,1,1,0
470,62,20,69.79,9,1,1,1
471,37,30,118.67,7,1,1,0
472,18,19,141.62,9,1,0,0
473,25,53,80.59,1,1,1,0
474,63,56,167.16,4,0,1,0
475,33,23,164.19,7,0,1,0
476,31,62,186.47,0,0,1,0
477,29,33,61.19,9,1,1,0
478,68,18,90.34,9,0,1,1
479,40,33,175.81,3,1,1,0
480,32,32,153.88,4,0,1,1
481,45,61,185.21,9,0,1,0
482,51,54,68.01,2,1,1,1
483,19,17,143.57,1,0,1,1
484,49,19,139.67,2,0,1,1
485,40,70,64.99,4,0,1,0
486,39,34,131.89,6,0,1,1
487,68,25,145.33,1,0,1,0
488,42,68,86.78,6,0,1,0
489,39,11,98.27,5,1,1,0
490,39,16,149.65,6,0,1,1
491,66,61,125.56,6,0,1,1
492,69,7,180.12,8,0,1,0
493,59,16,107.93,6,0,1,0
494,23,16,97.33,5,0,1,0
495,32,40,197.88,9,1,1,1
496,71,12,187.56,7,1,1,1
497,60,35,64.06,6,1,1,1
498,54,21,167.9,5,1,1,0
499,50,50,75.45,3,1,1,0
500,25,43,63.85,6,1,1,0
501,70,17,98.32,7,1,1,1
502,61,32,97.71,7,1,1,0
503,61,41,174.7,3,1,1,0
504,22,6,159.49,9,0,1,0
505,56,27,197.43,8,0,1,0
506,21,20,159.61,2,0,1,0
507,23,25,118.56,8,1,1,0
508,62,66,157.85,2,0,1,0
509,49,9,199.92,6,0,0,0
510,69,53,159.42,3,0,1,0
511,47,61,166.64,4,1,1,0
512,64,38,191.37,2,0,1,0
513,52,3,75.91,1,1,0,1
514,72,70,158.67,7,1,0,0
515,57,55,179.11,6,0,1,1
516,69,1,193.61,6,1,1,1
517,33,70,89.54,7,1,1,0
518,30,45,130.55,0,0,1,1
519,67,47,155.28,7,0,0,1
520,59,26,94.65,9,0,1,0
521,47,14,144.07,4,0,1,0
522,36,54,96.06,7,1,1,0
523,34,71,106.68,8,0,1,0
524,73,46,121.81,1,1,0,0
525,36,31,134.09,2,0,1,0
526,45,59,122.91,5,1,1,0
527,72,29,129.05,8,0,1,0
528,43,17,101.8,9,1,0,0
529,54,14,82.26,9,0,1,1
530,43,36,66.63,7,0,0,1
531,70,58,87.44,5,0,0,1
532,40,24,141.47,4,0,1,1
533,26,63,170.06,2,0,0,0
534,29,25,83.69,3,0,1,0
535,70,59,75.2,6,0,0,1
536,18,32,164.9,6,1,1,0
537,18,18,102.72,2,1,1,0
538,64,37,193.21,3,1,1,0
539,51,26,160.0,2,1,1,0
540,49,9,105.75,1,1,1,0
541,71,64,100.54,5,0,1,0
542,65,20,133.32,6,0,1,0
543,42,54,71.08,3,0,0,0
544,57,30,76.47,4,0,1,0
545,62,53,84.62,7,0,1,1
546,70,63,168.46,8,0,0,0
547,18,11,131.94,6,0,0,1
548,33,31,61.48,9,0,1,1
549,56,49,154.29,0,1,1,1
550,22,19,119.32,2,0,1,0
551,39,12,131.52,4,0,1,1
552,46,15,89.98,2,0,1,1
553,72,31,137.25,0,0,1,0
554,20,43,197.08,1,0,1,0
555,29,37,70.28,7,0,1,1
556,43,29,99.75,6,0,1,1
557,33,26,94.02,9,0,1,1
558,68,2,94.8,2,0,1,1
559,54,15,113.02,3,0,1,0
560,39,4,174.54,2,0,1,0
561,74,50,187.8,3,1,1,1
562,46,38,88.31,7,0,1,0
563,31,23,136.01,8,0,0,1
564,45,59,149.17,6,0,1,0
565,22,28,133.06,8,0,1,0
566,64,66,120.77,8,1,1,0
567,66,8,86.88,6,0,1,0
568,47,29,128.35,6,0,1,0
569,63,11,116.17,7,0,1,1
570,69,18,171.38,9,1,1,0
571,22,55,166.9,2,1,1,0
572,29,50,78.76,7,1,1,0
573,33,14,72.39,0,0,1,0
574,43,9,187.14,5,1,1,0
575,43,11,134.97,1,0,0,0
576,65,63,180.09,6,1,1,0
577,38,67,68.14,2,1,1,0
578,56,53,133.71,9,1,1,0
579,53,39,135.52,4,0,1,0
580,50,56,180.5,9,1,1,1
581,47,28,73.67,1,0,1,1
582,54,39,93.66,0,0,1,1
583,40,25,116.92,4,1,1,0
584,27,21,181.22,8,0,1,0
585,71,10,191.44,8,0,1,0
586,22,43,198.98,6,0,1,1
587,53,15,194.29,8,1,0,1
588,51,48,60.83,3,0,1,0
589,69,21,66.68,2,0,1,0
590,48,60,80.66,3,1,0,0
591,27,50,108.84,6,0,0,0
592,36,23,176.19,7,0,1,1
593,49,13,184.97,1,1,1,0
594,18,69,86.16,4,0,1,0
595,73,4,146.75,4,0,1,0
596,22,9,188.43,8,0,1,0
597,62,35,124.92,2,1,1,0
598,21,21,74.5,5,1,1,0
599,33,58,124.09,9,1,1,0
600,41,18,112.61,4,0,1,0
601,33,43,140.87,1,0,0,0
602,72,6,121.41,1,0,0,1
603,19,67,62.43,3,1,1,0
604,66,12,199.16,3,0,1,1
605,45,12,136.1,6,0,1,1
606,49,66,126.31,0,1,1,0
607,44,2,193.65,5,1,1,1
608,37,15,81.82,8,1,1,0
609,41,23,86.49,1,0,1,0
610,29,29,173.12,4,0,1,1
611,67,7,96.52,9,0,0,0
612,52,28,171.89,9,1,0,1
613,50,14,98.01,3,1,1,0
614,50,44,64.65,3,1,1,0
615,68,30,132.38,7,0,1,0
616,60,32,87.54,5,1,1,0
617,54,70,166.1,6,0,1,1
618,29,6,149.77,8,1,1,0
619,20,27,189.3,2,0,1,0
620,18,24,169.62,1,0,1,0
621,50,34,85.31,2,0,1,0
622,57,40,172.02,7,0,0,1
623,27,47,149.84,8,0,0,0
624,60,24,153.65,9,0,1,1
625,61,65,176.52,4,0,1,0
626,46,18,140.34,7,0,1,1
627,30,44,125.24,6,1,0,0
628,29,57,149.13,8,0,1,1
629,48,28,101.71,3,1,1,0
630,63,71,85.56,9,1,1,0
631,19,23,146.32,2,0,1,0
632,68,34,92.74,8,0,1,0
633,67,11,71.19,7,0,1,0
634,52,35,60.08,6,0,1,0
635,40,42,145.16,0,1,1,0
636,34,28,110.7,1,0,1,0
637,43,24,165.32,8,0,1,1
638,25,8,112.52,4,0,1,0
639,46,53,128.04,0,0,1,1
640,43,4,116.99,8,1,1,1
641,27,5,151.08,0,0,1,0
642,43,49,109.86,7,0,1,1
643,51,30,194.93,4,0,0,1
644,68,63,191.06,5,1,1,0
645,58,47,178.72,0,0,1,0
646,24,26,188.84,1,0,1,1
647,21,57,122.88,6,0,1,0
648,70,37,135.1,1,0,1,1
649,67,7,163.89,4,1,1,0
650,62,40,157.46,8,0,0,0
651,28,39,184.7,4,1,0,1
652,46,62,160.29,2,0,1,1
653,73,53,199.7,5,0,1,0
654,53,4,108.79,6,1,1,1
655,42,25,176.62,9,0,1,1
656,38,7,157.67,9,1,1,0
657,74,28,156.79,7,0,1,0
658,53,69,105.62,2,1,0,0
659,27,67,169.98,3,0,1,0
660,54,20,186.05,9,0,1,1
661,26,11,90.6,3,0,1,0
662,41,67,147.57,1,0,1,0
663,52,7,114.9,6,1,1,0
664,66,23,198.54,3,0,1,1
665,52,61,127.04,3,1,1,0
666,65,71,91.96,7,0,1,0
667,53,34,113.46,5,0,1,0
668,35,19,151.54,5,1,1,0
669,66,58,70.65,8,1,1,0
670,56,9,144.5,3,0,1,0
671,49,48,190.37,8,1,0,0
672,41,41,179.05,0,1,1,0
673,40,48,69.47,8,1,0,0
674,49,45,199.07,0,1,1,0
675,54,25,157.82,6,1,1,1
676,29,25,82.72,5,0,1,0
677,66,19,61.74,6,1,1,1
678,72,39,83.98,8,0,1,0
679,30,27,177.34,9,0,1,1
680,40,63,63.03,3,0,1,0
681,42,68,92.64,8,1,1,0
682,52,19,166.02,2,0,1,0
683,58,28,142.06,9,1,1,0
684,47,33,169.58,8,0,1,1
685,34,10,164.46,0,0,1,1
686,66,30,67.08,4,0,1,0
687,37,22,184.95,9,0,0,0
688,65,3,91.78,4,1,1,0
689,42,48,137.47,0,0,1,0
690,39,2,150.2,0,1,1,0
691,30,54,83.61,2,0,1,0
692,36,6,196.67,8,1,1,0
693,66,40,128.34,6,1,1,1
694,53,2,68.07,5,0,1,0
695,29,2,191.22,8,0,1,0
696,58,55,142.08,3,0,0,1
697,36,60,157.89,3,0,0,0
698,29,6,133.52,2,0,1,0
699,26,19,176.86,4,1,1,0
700,24,27,64.64,4,1,1,0
701,45,1,97.57,9,0,1,0
702,31,33,125.75,6,1,1,1
703,48,40,70.72,6,0,1,0
704,69,32,158.83,5,0,1,0
705,36,69,115.11,3,0,1,0
706,64,17,98.17,6,0,1,1
707,33,8,60.47,1,0,1,0
708,70,57,160.78,8,0,1,1
709,22,42,176.73,6,1,1,1
710,52,9,115.31,1,1,1,0
711,29,35,138.99,9,1,1,0
712,42,71,91.88,1,0,1,1
713,69,53,147.11,5,0,1,1
714,38,54,61.7,6,0,1,1
715,53,25,128.41,8,1,1,0
716,70,67,150.19,3,0,1,0
717,40,62,188.55,7,0,1,0
718,33,55,113.39,9,0,1,1
719,74,46,167.13,1,1,1,0
720,56,24,143.68,5,0,0,1
721,62,46,189.78,3,1,1,1
722,70,22,115.77,7,0,0,0
723,59,11,104.67,8,1,1,0
724,56,48,184.2,1,0,1,0
725,31,8,66.89,6,1,1,0
726,48,39,79.09,6,0,1,1
727,22,35,71.54,7,0,1,1
728,52,49,178.04,4,0,1,0
729,40,46,61.49,2,0,1,1
730,46,38,180.63,0,1,1,0
731,60,8,123.18,3,1,1,0
732,28,54,60.56,2,1,1,1
733,35,37,116.23,1,0,1,0
734,64,40,86.15,5,0,1,0
735,29,34,147.42,6,1,1,1
736,26,17,155.11,9,1,1,1
737,27,33,128.25,6,0,1,1
738,61,47,65.67,7,1,1,0
739,34,52,151.86,1,1,1,0
740,55,9,177.89,9,0,1,1
741,24,33,160.85,5,0,1,0
742,63,60,176.19,5,0,1,0
743,30,21,88.07,9,1,1,1
744,57,58,184.44,0,0,1,0
745,59,69,105.11,1,0,1,0
746,26,10,61.88,8,1,1,0
747,67,6,178.07,7,1,1,0
748,44,13,191.85,3,1,1,0
749,19,65,151.78,5,0,1,0
750,22,20,92.4,1,1,1,0
751,46,57,95.24,4,0,1,0
752,54,46,125.32,1,0,1,0
753,55,8,185.7,4,0,1,0
754,36,10,80.94,6,1,1,0
755,25,67,175.64,6,1,1,0
756,65,11,100.78,8,0,1,0
757,62,12,173.2,2,0,1,0
758,18,10,188.84,3,1,0,0
759,39,25,119.85,8,0,1,0
760,69,49,111.11,7,0,1,0
761,34,49,172.31,6,0,1,1
762,24,11,134.13,7,0,0,0
763,42,62,155.82,8,0,1,1
764,62,36,147.2,3,1,1,1
765,21,39,81.4,4,0,1,1
766,53,53,178.27,8,1,1,1
767,23,56,87.41,6,0,1,1
768,48,1,190.52,3,0,1,0
769,36,56,95.08,5,1,1,1
770,61,4,162.74,0,0,1,0
771,71,30,99.85,0,1,0,0
772,56,12,104.49,8,1,1,1
